,city,Cloundiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
134,aksu,9,CN,1665350272,33,41.1231,80.2644,56.26,2.89
135,abu dhabi,0,AE,1665350149,65,24.4667,54.3667,84.22,3.44
136,uruguaiana,0,BR,1665350272,36,-29.7547,-57.0883,62.53,13.8
137,hualmay,55,PE,1665350272,74,-11.0964,-77.6139,66.27,11.7
138,chukhloma,100,RU,1665350273,93,58.7525,42.6825,46.49,4.76
139,goderich,87,CA,1665350273,67,43.7501,-81.7165,58.91,5.75
140,teya,99,RU,1665350273,96,60.3778,92.6267,36.99,2.62
141,hefei,0,CN,1665350273,87,31.8639,117.2808,44.62,4.47
142,kajaani,0,FI,1665350273,87,64.2273,27.7285,37.45,8.05
143,castro,88,BR,1665350081,82,-24.7911,-50.0119,66.15,5.32
144,adre,77,TD,1665350274,59,13.4667,22.2,78.98,7.05
145,dhidhdhoo,94,MV,1665350274,81,6.8833,73.1,80.28,14.5
146,nanortalik,100,GL,1665350069,93,60.1432,-45.2371,39.31,16.15
147,buluang,96,PH,1665350275,93,13.3068,123.3425,75.42,2.95
148,comodoro rivadavia,0,AR,1665350117,21,-45.8667,-67.5,67.86,16.11
149,vaini,75,TO,1665350276,88,-21.2,-175.2,75.36,13.8
150,namatanai,98,PG,1665350277,64,-3.6667,152.4333,79.84,7.0
151,tual,100,ID,1665350277,73,-5.6667,132.75,83.46,14.52
152,goure,27,NE,1665350277,17,13.9835,10.2704,89.15,9.01
153,khatanga,34,RU,1665350277,95,71.9667,102.5,0.28,3.91
154,salalah,99,OM,1665350078,70,17.0151,54.0924,75.27,2.3
155,carnarvon,4,AU,1665350277,72,-24.8667,113.6333,64.29,19.86
156,najran,10,SA,1665350277,21,17.4924,44.1277,70.48,3.33
157,cabo san lucas,0,MX,1665350070,55,22.8909,-109.9124,94.6,3.44
158,varhaug,71,NO,1665350278,83,58.6147,5.6457,54.95,26.78
159,rodino,100,RU,1665350278,81,52.5,80.25,47.16,12.03
160,linxia,100,CN,1665350278,51,35.6003,103.2064,40.68,1.95
161,port blair,40,IN,1665350279,94,11.6667,92.75,77.04,2.3
162,gberia fotombu,100,SL,1665350279,97,9.8833,-11.1667,69.98,1.43
163,heishan,100,CN,1665350279,93,41.6892,122.1128,33.67,24.96
164,biloxi,0,US,1665350279,26,30.396,-88.8853,82.45,5.75
165,lompoc,0,US,1665350279,74,34.6391,-120.4579,85.01,11.5
166,lavrentiya,4,RU,1665350279,58,65.5833,-171.0,29.44,10.22
167,atasu,75,KZ,1665350279,63,48.6814,71.6433,42.35,7.67
168,quatre cocos,85,MU,1665350122,62,-20.2078,57.7625,71.1,13.18
169,vestmanna,75,FO,1665350280,81,62.1564,-7.1664,45.52,21.85
170,kayes,100,ML,1665350280,64,14.0,-11.0,83.41,2.33
171,kommunisticheskiy,100,RU,1665350280,86,61.6789,64.4819,45.41,8.88
172,laguna,0,US,1665350280,33,38.421,-121.4238,93.18,9.22
173,provideniya,20,RU,1665350072,80,64.3833,-173.3,33.37,11.01
174,cascais,100,PT,1665350280,92,38.6979,-9.4215,65.97,17.0
175,mar del plata,0,AR,1665350075,67,-38.0023,-57.5575,51.94,9.22
176,worland,0,US,1665350281,29,44.0169,-107.9554,75.67,6.91
177,port lincoln,100,AU,1665350281,80,-34.7333,135.8667,55.54,14.45
178,russell,0,US,1665350281,20,32.3502,-85.1999,76.15,6.91
179,lamar,0,US,1665350281,46,33.6668,-95.5836,80.98,6.91
180,adrar,90,MR,1665350281,26,20.5022,-10.0711,91.38,12.57
181,naas,0,IE,1665350281,100,53.2158,-6.6669,48.04,10.36
182,mahebourg,75,MU,1665350281,78,-20.4081,57.7,71.26,11.5
183,kidal,3,ML,1665350282,15,18.4411,1.4078,89.1,11.7
184,mackay,47,AU,1665350282,82,-21.15,149.2,73.69,12.53
185,kavaratti,100,IN,1665350078,80,10.5669,72.642,80.19,6.82
186,zavallya,31,UA,1665350282,84,48.2135,30.0156,51.19,11.48
187,san patricio,52,US,1665350282,42,28.017,-97.5169,89.55,14.88
188,arlit,4,NE,1665350282,15,18.7369,7.3853,88.45,16.6
189,dunedin,98,NZ,1665350284,59,-45.8742,170.5036,56.62,4.83
190,luwuk,94,ID,1665350284,84,-0.9516,122.7875,77.22,4.0
191,rheine,19,DE,1665350284,84,52.2833,7.45,51.71,8.55
192,governador valadares,38,BR,1665350284,59,-18.8511,-41.9494,80.71,4.32
193,pangnirtung,93,CA,1665350285,59,66.1451,-65.7125,27.16,1.72
194,koumac,49,NC,1665350285,70,-20.5667,164.2833,77.41,4.65
195,clyde river,0,CA,1665350285,79,70.4692,-68.5914,17.83,12.66
196,parrita,100,CR,1665350285,86,9.5201,-84.3225,76.71,7.83
197,pedernales,22,DO,1665350286,66,18.0384,-71.744,84.79,4.29
198,ikot ekpene,100,NG,1665350286,96,5.1794,7.7108,73.62,3.76
199,sioux lookout,20,CA,1665350286,45,50.1001,-91.917,44.67,2.3
200,kasempa,11,ZM,1665350286,30,-13.4584,25.8338,65.73,4.7
201,sechura,96,PE,1665350287,58,-5.5569,-80.8222,75.31,16.67
202,glarus,92,CH,1665350287,50,47.0406,9.068,59.43,8.52
203,georgetown,20,MY,1665350287,88,5.4112,100.3354,79.23,3.44
204,soyo,8,AO,1665350287,86,-6.1349,12.3689,76.28,12.3
205,nikolskoye,0,RU,1665350074,94,59.7035,30.7861,45.81,5.23
206,verkhniy fiagdon,100,RU,1665350287,86,42.8333,44.3053,43.47,7.99
207,barcelos,100,PT,1665350287,86,41.5388,-8.6151,63.84,2.06
208,bredasdorp,100,ZA,1665350076,97,-34.5322,20.0403,58.59,6.44
209,stafford,100,GB,1665350168,71,52.8052,-2.1164,55.31,15.12
210,ribeira grande,13,PT,1665350079,83,38.5167,-28.7,72.77,1.01
211,lorengau,96,PG,1665350288,68,-2.0226,147.2712,81.3,9.66
212,guerrero negro,3,MX,1665350288,63,27.9769,-114.0611,77.58,13.29
213,mahanoro,2,MG,1665350289,87,-19.9,48.8,63.97,4.72
214,lerwick,100,GB,1665350205,69,60.1545,-1.1494,51.8,19.28
215,nome,100,US,1665350289,61,64.5011,-165.4064,33.87,5.75
216,tocopilla,20,CL,1665350289,66,-22.092,-70.1979,63.46,7.87
217,cayenne,40,GF,1665350134,74,4.9333,-52.3333,84.24,11.5
218,santa maria,45,BR,1665350290,57,-29.6842,-53.8069,57.22,5.77
219,quang ngai,100,VN,1665350290,95,15.1167,108.8,74.7,5.35
220,alekseyevka,100,RU,1665350290,66,50.6309,38.6903,57.4,4.38
221,saskylakh,90,RU,1665350125,92,71.9167,114.0833,4.5,8.21
222,hervey bay,76,AU,1665350290,94,-25.2986,152.8535,67.01,3.0
223,muroto,60,JP,1665350291,86,33.2833,134.15,74.3,11.52
224,chilliwack,48,CA,1665350291,38,49.1747,-121.9443,80.91,3.44
225,kloulklubed,99,PW,1665350291,61,7.0419,134.2556,84.36,7.83
226,mehamn,75,NO,1665350291,87,71.0357,27.8492,42.75,19.57
227,qaanaaq,48,GL,1665350071,71,77.484,-69.3632,8.87,9.06
228,punta de bombon,0,PE,1665350291,72,-17.1717,-71.7931,62.64,7.02
229,purpe,100,RU,1665350292,87,64.4803,76.6897,42.3,15.93
230,nijar,0,ES,1665350292,68,36.9665,-2.206,69.66,3.44
231,lamlash,63,GB,1665350292,70,55.5336,-5.1296,49.96,13.87
232,beloha,0,MG,1665350292,87,-25.1667,45.05,71.01,6.42
233,makakilo city,100,US,1665350292,63,21.3469,-158.0858,83.61,9.22
234,vaitape,6,PF,1665350292,73,-16.5167,-151.75,78.69,18.32
235,lazarev,1,RU,1665350293,77,52.225,141.5131,40.12,5.14
236,kapiri mposhi,0,ZM,1665350293,32,-13.9652,28.6809,65.62,4.97
237,kungurtug,96,RU,1665350293,46,50.5994,97.5228,30.94,1.66
238,norman wells,27,CA,1665350070,56,65.282,-126.8329,55.81,4.38
239,praia da vitoria,75,PT,1665350293,88,38.7333,-27.0667,73.65,11.81
240,torbay,20,CA,1665350293,78,47.6666,-52.7314,51.58,10.36
241,banepa,75,NP,1665350293,94,27.6298,85.5214,66.52,2.3
242,maragogi,100,BR,1665350294,85,-9.0122,-35.2225,77.0,9.84
